,gene
596,A2M
201,ABI3BP
69,ACKR1
651,ACOD1
207,ACP3
897,ACP5
576,ACTA2
116,ACTG2
445,ADAMDEC1
988,ADAMTS1
845,ADCYAP1
355,ADGRF5
30,ADGRL4
575,ADIRF
506,ADM
385,AEBP1
373,AGR2
374,AGR3
371,AKAP12
414,AKR1B10
555,AKR1C1
556,AKR1C2
557,AKR1C3
764,ALDH1A3
646,ALOX5AP
186,ALPG
185,ALPP
439,ANGPT2
894,ANGPTL4
581,ANKRD1
173,ANKRD44-AS1
354,ANKRD66
216,ANKUB1
381,ANLN
763,ANPEP
846,APCDD1
437,APLN
511,APLNR
547,APOA1
983,APOBEC3A
920,APOC1
919,APOE
380,AQP1
610,AQP5
250,AREG
33,ARHGAP29
88,ASPM
489,ASPN
522,ASRGL1
469,ATAD2
644,ATP12A
461,ATP6V0D2
879,AURKA
624,AVPR1A
918,BCAM
759,BCL2A1
681,BDKRB1
438,BGN
535,BIRC3
842,BIRC5
589,BNIP3
866,BPIFB1
546,C11orf52
510,C11orf96
534,C11orf97
744,C15orf48
909,C19orf33
10,C1QA
12,C1QB
11,C1QC
283,C1QTNF3
883,C20orf204
881,C20orf85
749,C2CD4A
750,C2CD4B
171,C2orf88
924,C5AR1
925,C5AR2
336,C6orf15
286,C7_ENSG00000112936
482,C9orf24
751,CA12
460,CA2
197,CADPS
462,CALB1
791,CALB2
167,CALCRL
558,CALML5
890,CAPS
285,CAPSL
296,CARTPT
407,CAV1
172,CAVIN2
856,CCDC102B
393,CCDC146
202,CCDC80
806,CCL1
803,CCL11
805,CCL13
807,CCL15
787,CCL17
809,CCL18
483,CCL19
801,CCL2
184,CCL20
484,CCL21
786,CCL22
808,CCL23
810,CCL3
812,CCL3L3
811,CCL4
813,CCL4L2
802,CCL7
804,CCL8
31,CCN1
368,CCN2
647,CCNA1
268,CCNA2
295,CCNB1
748,CCNB2
528,CCND1
294,CCNO
817,CCR7
312,CD14
591,CD163
65,CD1A
67,CD1B
66,CD1C
68,CD1E
115,CD207
362,CD24
836,CD300E
98,CD34
394,CD36
843,CD7
916,CD79A
325,CD83
860,CD93
23,CDC20
293,CDC20B
848,CDH2
788,CDH5
282,CDH6
567,CDK1
481,CDKN2A
670,CDKN3
915,CEACAM5
914,CEACAM7
760,CEMIP
109,CENPA
264,CENPE
102,CENPF
584,CEP55
74,CFAP126
22,CFAP144
36,CFAP276
640,CFAP73
280,CFAP90
885,CFD
361,CGA
577,CH25H
776,CHD9NB
677,CHGA
91,CHI3L1
92,CHIT1
165,CHN1
685,CKB
487,CKS2
32,CLCA4
222,CLDN1
652,CLDN10
223,CLDN16
389,CLDN3
390,CLDN4
939,CLDN5
769,CLDN9
