,gene
1031,AAMP
1042,ABCB6
1418,ABCC5
301,ABCD3
1644,ABCE1
1422,ABCF3
1228,ABHD14B
1629,ABHD18
1009,ABI2
1892,ABLIM3
1574,ABRAXAS1
1329,ABTB1
1161,ACAA1
1347,ACAD11
1335,ACAD9
263,ACADM
1445,ACAP2
6,ACAP3
607,ACBD3
520,ACBD6
1493,ACOX3
649,ACP1
359,ACP6
1678,ACSL1
1054,ACSL3
855,ACTR1B
886,ACTR3
928,ACVR1
764,ACYP2
420,ADAM15
662,ADAM17
1922,ADAM19
1962,ADAMTS2
478,ADAMTS4
1260,ADAMTS9
414,ADAR
689,ADCY3
1479,ADD1
1506,ADGRA3
272,ADGRL2
1593,ADH5
654,ADI1
556,ADIPOR1
640,ADSS
1491,AFAP1
1893,AFAP1L1
1577,AFF1
1834,AFF4
780,AFTPH
1673,AGA
1078,AGAP1
698,AGBL5
1060,AGFG1
1772,AGGF1
169,AGO1
170,AGO3
168,AGO4
962,AGPS
3,AGRN
326,AHCYL1
593,AIDA
1606,AIMP1
182,AKIRIN1
212,AKR1A1
638,AKT3
1286,ALCAM
492,ALDH9A1
1423,ALG3
806,ALMS1
1715,AMACR
1351,AMOTL2
324,AMPD2
1209,AMT
312,AMY2B
878,ANAPC1
1352,ANAPC13
1510,ANAPC4
1616,ANK2
1707,ANKH
1864,ANKHD1
1766,ANKRA2
1554,ANKRD17
1131,ANKRD28
853,ANKRD36
842,ANKRD36C
1681,ANKRD37
851,ANKRD39
989,ANKRD44
1627,ANKRD50
1044,ANKZF1
366,ANP32E
789,ANTXR1
1568,ANTXR2
790,ANXA4
1622,ANXA5
1908,ANXA6
1614,AP1AR
1421,AP2M1
1774,AP3B1
339,AP4B1
1526,APBB2
1867,APBB3
1806,APC
1211,APEH
367,APH1A
1249,APPL1
1881,ARAP3
610,ARF1
1250,ARF4
918,ARHGAP15
788,ARHGAP25
1886,ARHGAP26
300,ARHGAP29
1302,ARHGAP31
76,ARHGEF10L
455,ARHGEF11
438,ARHGEF2
1248,ARHGEF3
117,ARID1A
626,ARID4B
847,ARID5A
1197,ARIH2
1077,ARL4C
1267,ARL6IP5
926,ARL6IP6
552,ARL8A
1357,ARMC8
377,ARNT
1030,ARPC2
1107,ARPC4
529,ARPC5
1785,ARRDC3
1777,ARSB
658,ASAP2
1084,ASB1
761,ASB3
432,ASH1L
978,ASNSD1
691,ASXL2
682,ATAD2B
957,ATF2
582,ATF3
485,ATF6
1813,ATG12
1074,ATG16L1
1294,ATG3
1095,ATG4B
1116,ATG7
1043,ATG9A
1022,ATIC
736,ATL2
1913,ATOX1
1532,ATP10D
1411,ATP11B
1443,ATP13A3
344,ATP1A1
501,ATP1B1
559,ATP2B4
1344,ATP2C1
130,ATP5IF1
958,ATP5MC3
1459,ATP5ME
332,ATP5PB
207,ATP6V0B
1942,ATP6V0E1
1300,ATP6V1A
1530,ATP8A1
411,ATP8B2
221,ATPAF1
1699,ATPSCKMT
702,ATRAID
1258,ATXN7
818,AUP1
10,AURKAIP1
1393,B3GALNT1
477,B4GALT3
1958,B4GALT7
711,BABAM2
1624,BBS7
1288,BBX
877,BCL2L11
1438,BCL6
1037,BCS1L
1760,BDP1
1101,BHLHE40
896,BIN1
723,BIRC6
1994,BLOC1S5
502,BLZF1
1567,BMP2K
1008,BMPR2
1298,BOC
1943,BOD1
1497,BOD1L1
589,BPNT1
1850,BRD8
1690,BRD9
1717,BRIX1
1113,BRK1
594,BROX
153,BSDC1
1765,BTF3
231,BTF3L4
558,BTG2
997,BZW1
91,C1QA
93,C1QB
92,C1QC
178,C1orf122
333,C1orf162
29,C1orf174
618,C1orf198
532,C1orf21
611,C1orf35
409,C1orf43
275,C1orf52
368,C1orf54
869,C2orf49
833,C2orf68
995,C2orf69
1274,C3orf38
1621,C4orf3
1836,C5orf15
1844,C5orf24
1729,C5orf51
1065,CAB39
972,CALCRL
1617,CAMK2D
83,CAMK2N1
750,CAMKMT
1842,CAMLG
37,CAMTA1
1965,CANX
189,CAP1
826,CAPG
1088,CAPN10
595,CAPN2
1128,CAPN7
80,CAPZB
1002,CASP10
1610,CASP6
1003,CASP8
1792,CAST
985,CAVIN2
1287,CBLB
1666,CBR4
233,CC2D1B
905,CCDC115
1182,CCDC12
1757,CCDC125
1321,CCDC14
1441,CCDC50
1909,CCDC69
1296,CCDC80
767,CCDC88A
888,CCDC93
277,CCN1
1928,CCNG1
1784,CCNH
1565,CCNI
1385,CCNL1
11,CCNL2
911,CCNT2
1018,CCNYL1
447,CCT3
774,CCT4
1700,CCT5
805,CCT7
1869,CD14
1293,CD200
933,CD302
574,CD34
573,CD46
1289,CD47
116,CD52
328,CD53
572,CD55
1900,CD74
467,CD84
1313,CD86
1291,CD96
609,CDC42BPA
381,CDC42SE1
1825,CDC42SE2
542,CDC73
15,CDK11B
563,CDK18
1756,CDK7
1349,CDV3
1987,CDYL
733,CEBPZ
732,CEBPZOS
52,CENPS
28,CEP104
1821,CEP120
1543,CEP135
636,CEP170
518,CEP350
1671,CEP44
1353,CEP63
783,CEP68
379,CERS2
942,CERS6
1680,CFAP97
543,CFH
1612,CFI
1001,CFLAR
1273,CGGBP1
882,CHCHD5
1794,CHD1
1540,CHIC2
835,CHMP3
956,CHN1
1050,CHPF
1366,CHST2
399,CHTOP
845,CIAO1
953,CIR1
1600,CISD2
194,CITED4
893,CLASP1
1154,CLASP2
318,CLCC1
1668,CLCN3
58,CLCN6
1440,CLDN1
1277,CLDND1
1178,CLEC3B
106,CLIC4
1924,CLINT1
715,CLIP4
998,CLK1
429,CLK2
1692,CLPTM1L
46,CLSTN1
1946,CLTB
1701,CMBL
1142,CMC1
224,CMPK1
1149,CMTM6
1148,CMTM7
1338,CNBP
302,CNN3
850,CNNM3
1150,CNOT10
1972,CNOT6
1566,CNOT6L
1918,CNOT8
1036,CNOT9
1039,CNPPD1
644,CNST
857,COA5
624,COA6
940,COBLL1
145,COL16A1
974,COL3A1
975,COL5A2
1080,COL6A3
775,COMMD1
1814,COMMD10
1374,COMMD2
465,COPA
1359,COPB2
1339,COPG1
1069,COPS7B
1079,COPS8
1086,COPS9
991,COQ10B
1573,COQ2
608,COQ8A
1305,COX17
854,COX5B
742,COX7A2L
1782,COX7C
1371,CP
1663,CPE
1498,CPEB2
1944,CPEB4
660,CPSF3
1098,CRBN
1016,CREB1
495,CREG1
1111,CRELD1
727,CRIM1
1152,CRTAP
405,CRTC2
1276,CRYBG3
262,CRYZ
343,CSDE1
325,CSF1
1897,CSF1R
1467,CTBP1
274,CTBS
1035,CTDSP1
1855,CTNNA1
1167,CTNNB1
47,CTNNBIP1
