,gene,highly_variable_rank
0,HES4,96.0
1,ISG15,148.0
2,ERRFI1,78.0
3,ENO1,150.0
4,PLOD1,120.0
5,HSPG2,189.5
6,C1QA,151.0
7,C1QC,176.0
8,C1QB,53.0
9,TCEA3,160.0
10,CLIC4,60.5
11,CD52,86.0
12,IFI6,113.5
13,LAPTM5,110.0
14,SDC3,179.0
15,SERINC2,173.0
16,COL16A1,146.0
17,SMAP2,109.0
18,FOXJ3,57.0
19,LRRC41,100.5
20,PDZK1IP1,159.0
21,JUN,79.0
22,CCN1,92.5
23,GBP1,163.0
24,CD53,183.0
25,ATP1A1,110.5
26,TXNIP,196.0
27,HIST2H2AB,156.0
28,ANP32E,199.0
29,CTSS,134.0
30,CDC42SE1,190.5
31,S100A10,162.0
32,S100A9,133.0
33,S100A8,101.5
34,IL6R,164.0
35,EFNA1,49.5
36,MUC1,138.0
37,RIT1,179.0
38,LMNA,178.0
39,ADAMTS4,202.0
40,FCER1G,121.5
41,FCGR3A,176.0
42,RGS5,54.5
43,PBX1,148.0
44,CREG1,136.0
45,ATP1B1,158.0
46,RGS1,184.0
47,CFH,184.0
48,PTPRC,87.0
49,RHEX,102.0
50,ATF3,170.0
51,DEGS1,26.0
52,COQ8A,115.0
53,SH3YL1,142.0
54,PXDN,181.0
55,RHOB,138.0
56,ADCY3,198.0
57,LTBP1,168.5
58,CRIM1,110.0
59,CYP1B1,159.0
60,SLC8A1,105.0
61,ZFP36L2,140.0
62,EPAS1,202.5
63,REL,206.0
64,ANXA4,122.0
65,IGKC,2.0
66,BCL2L11,64.0
67,PAX8,206.5
68,DBI,194.0
69,TMEM37,150.5
70,LIMS2,182.0
71,CXCR4,85.0
72,ITGB6,45.0
73,STK39,148.0
74,ATP5MC3,192.0
75,ITGAV,181.0
76,COL3A1,88.0
77,COL5A2,201.0
78,SLC40A1,115.0
79,STAT1,180.5
80,CAVIN2,207.5
81,HSPD1,174.0
82,FN1,112.0
83,IGFBP5,98.0
84,CHPF,175.0
85,ITM2C,114.0
86,INPP5D,112.0
87,ATG16L1,200.0
88,COL6A3,110.0
89,BHLHE40,14.0
90,PPARG,67.0
91,FBLN2,113.5
92,SATB1,124.0
93,TGFBR2,154.5
94,TRAK1,161.0
95,LAMB2,169.0
96,MST1,195.0
97,HYAL2,202.0
98,MUSTN1,102.5
99,ADAMTS9,195.0
100,PROS1,192.0
101,DCBLD2,90.5
102,NIT2,200.0
103,NFKBIZ,112.0
104,CCDC80,29.5
105,PDIA5,129.0
106,MYLK,71.0
107,PLOD2,165.0
108,CP,51.5
109,TM4SF1,140.0
110,CCNL1,187.0
111,TNFSF10,124.0
112,NDUFB5,114.0
113,KLHL6,159.0
114,ST6GAL1,170.0
115,BCL6,179.5
116,ATP13A3,118.0
117,MUC20,109.5
118,TFRC,131.5
119,SOD3,95.5
120,OCIAD2,198.5
121,IGFBP7,143.0
122,DCK,169.0
123,PARM1,188.0
124,CXCL9,12.0
125,CNOT6L,58.0
126,PTPN13,194.0
127,SPARCL1,129.0
128,SPP1,43.0
129,ANK2,59.0
130,SYNPO2,25.0
131,ANXA5,101.0
132,NDUFC1,75.5
133,TLR2,207.0
134,CPE,153.0
135,PDLIM3,159.0
136,SDHA,104.0
137,LPCAT1,82.0
138,CMBL,118.5
139,IL7R,57.5
140,FYB1,189.0
141,SELENOP,109.5
142,PARP8,176.0
143,VCAN,162.5
144,COX7C,63.0
145,UQCRQ,57.5
146,VDAC1,132.0
147,CXCL14,102.0
148,TGFBI,103.0
149,EGR1,44.0
150,CD14,151.0
151,NDUFA2,130.0
152,PDGFRB,183.0
153,CD74,165.0
154,SYNPO,158.0
155,SPARC,53.0
156,HAVCR1,173.5
157,HAVCR2,168.0
158,SLIT3,180.0
159,CANX,141.5
160,SQSTM1,158.0
161,SERPINB9,152.0
162,TXNDC5,62.0
163,GMNN,196.5
164,HIST1H4A,158.5
165,HIST1H4B,147.0
166,HIST1H2BB,134.0
167,HIST1H2BD,120.0
168,HIST1H4D,146.5
169,HIST1H3D,182.5
170,HIST1H2AD,168.5
171,HIST1H2BG,68.0
172,HIST1H2AE,204.0
173,HIST1H4F,65.5
174,HIST1H2BH,79.5
175,HIST1H2BI,130.5
176,HIST1H4H,73.5
177,HIST1H2BJ,168.0
178,HIST1H2AG,40.5
179,HIST1H4I,113.0
180,HIST1H3H,85.0
181,HIST1H2BN,112.5
182,HIST1H1B,38.5
183,HIST1H3I,143.5
184,HIST1H2BO,99.5
185,UBD,132.0
186,HLA-A,108.0
187,DDR1,131.5
188,LST1,186.0
189,HSPA1A,164.0
190,HSPA1B,55.0
191,NEU1,166.0
192,HLA-DRA,127.0
193,HLA-DPA1,115.0
194,HLA-DPB1,86.0
195,HMGA1,78.0
196,HSP90AB1,142.0
197,TNFRSF21,29.0
198,CD109,205.0
199,CD24,104.5
200,GTF3C6,192.0
201,CCN2,7.0
202,SYNE1,153.0
203,EZR,178.5
204,PDE10A,151.5
205,RNASET2,77.0
206,THBS2,126.5
207,GPNMB,118.0
208,CYCS,191.0
209,CBX3,120.0
210,AQP1,176.5
211,INHBA,182.0
212,AEBP1,40.5
213,RAMP3,205.0
214,IGFBP3,66.0
215,IKZF1,152.0
216,FGL2,104.0
217,TFPI2,47.0
218,COL1A2,101.5
219,PON2,167.0
220,CYP3A5,157.5
221,SERPINE1,79.0
222,LAMB1,111.0
223,CAV1,144.0
224,TRBC1,67.0
225,TRBC2,44.5
226,KRBA1,112.5
227,TMEM176A,191.0
228,GALNT11,140.5
229,MSRA,203.0
