,gene
946,AAK1
1224,AAMP
1235,ABCB6
1703,ABCC5
375,ABCD3
1976,ABCE1
1707,ABCF3
1471,ABHD14A
1470,ABHD14B
1955,ABHD18
1396,ABHD5
1200,ABI2
1891,ABRAXAS1
1597,ABTB1
337,AC118549.1
1380,ACAA1
1622,ACAD11
1603,ACAD9
334,ACADM
1728,ACAP2
7,ACAP3
723,ACBD3
614,ACBD6
1786,ACOX3
1046,ACOXL
780,ACP1
447,ACP6
1620,ACPP
1248,ACSL3
968,ACTG2
1691,ACTL6A
1018,ACTR1B
1057,ACTR3
1493,ACTR8
1097,ACVR2A
1472,ACY1
913,ACYP2
509,ADAM15
795,ADAM17
503,ADAR
1769,ADD1
1803,ADGRA3
1916,ADH5
785,ADI1
656,ADIPOR1
766,ADSS
1785,AFAP1
1896,AFF1
1028,AFF3
935,AFTPH
1274,AGAP1
839,AGBL5
1254,AGFG1
381,AGL
200,AGO1
201,AGO3
199,AGO4
1147,AGPS
3,AGRN
68,AGTRAP
773,AHCTF1
405,AHCYL1
155,AHDC1
708,AIDA
1930,AIMP1
318,AK4
218,AKIRIN1
262,AKR1A1
764,AKT3
1544,ALCAM
1591,ALDH1L1
91,ALDH4A1
581,ALDH9A1
379,ALG14
1708,ALG3
313,ALG6
964,ALMS1
1075,AMMECR1L
402,AMPD2
1443,AMT
391,AMY2B
1048,ANAPC1
1629,ANAPC13
1808,ANAPC4
692,ANGEL2
328,ANKRD13C
1863,ANKRD17
1347,ANKRD28
1016,ANKRD36
1005,ANKRD36C
1013,ANKRD39
1952,ANKRD50
1237,ANKZF1
1395,ANO10
1293,ANO7
454,ANP32E
944,ANTXR1
1882,ANTXR2
1879,ANXA3
947,ANXA4
1948,ANXA5
1939,AP1AR
1706,AP2M1
419,AP4B1
1827,APBB2
1445,APEH
455,APH1A
1729,APOD
1498,APPL1
731,ARF1
1500,ARF4
1988,ARFIP1
1982,ARHGAP10
90,ARHGEF10L
549,ARHGEF11
31,ARHGEF16
1497,ARHGEF3
1925,ARHGEF38
1083,ARHGEF4
146,ARID1A
751,ARID4B
1429,ARIH2
1529,ARL13B
1530,ARL6
1517,ARL6IP5
651,ARL8A
1636,ARMC8
461,ARNT
1223,ARPC2
1317,ARPC4
621,ARPC5
791,ASAP2
121,ASAP3
1283,ASB1
910,ASB3
521,ASH1L
1163,ASNSD1
831,ASXL2
822,ATAD2B
1141,ATF2
688,ATF3
575,ATF6
1269,ATG16L1
1552,ATG3
1300,ATG4B
1326,ATG7
1236,ATG9A
1217,ATIC
882,ATL2
1835,ATP10D
1697,ATP11B
1726,ATP13A3
426,ATP1A1
591,ATP1B1
1617,ATP2C1
162,ATP5IF1
1142,ATP5MC3
1749,ATP5ME
411,ATP5PB
252,ATP6V0B
1560,ATP6V1A
1832,ATP8A1
501,ATP8B2
275,ATPAF1
1648,ATR
844,ATRAID
1421,ATRIP
1508,ATXN7
977,AUP1
12,AURKAIP1
1361,AZI2
1677,B3GALNT1
755,B3GALNT2
5,B3GALT6
253,B4GALT2
572,B4GALT3
855,BABAM2
1476,BAP1
1110,BAZ2B
1122,BBS5
1949,BBS7
1546,BBX
1047,BCL2L11
1722,BCL6
446,BCL9
1229,BCS1L
1743,BDH1
1831,BEND4
536,BGLAP
1308,BHLHE40
1069,BIN1
867,BIRC6
1780,BLOC1S4
592,BLZF1
1880,BMP2K
1912,BMPR1B
1195,BMPR2
1555,BOC
1791,BOD1L1
1298,BOK
701,BPNT1
1323,BRK1
183,BSDC1
1346,BTD
286,BTF3L4
659,BTG2
1184,BZW1
115,C1QB
114,C1QC
212,C1orf109
704,C1orf115
674,C1orf116
213,C1orf122
37,C1orf174
742,C1orf198
623,C1orf21
732,C1orf35
498,C1orf43
239,C1orf50
347,C1orf52
1037,C2orf49
992,C2orf68
1181,C2orf69
1261,C2orf72
925,C2orf74
1527,C3orf38
1946,C4orf3
1764,C4orf48
1259,CAB39
1315,CAMK1
1941,CAMK2D
103,CAMK2N1
896,CAMKMT
640,CAMSAP2
43,CAMTA1
225,CAP1
985,CAPG
1289,CAPN10
709,CAPN2
1342,CAPN7
96,CAPZB
1198,CARF
1936,CASP6
78,CASP9
61,CASZ1
1545,CBLB
288,CC2D1B
1793,CC2D2A
1080,CCDC115
1408,CCDC12
1585,CCDC14
1806,CCDC149
1339,CCDC174
236,CCDC30
1724,CCDC50
1575,CCDC58
1495,CCDC66
1438,CCDC71
917,CCDC88A
1059,CCDC93
349,CCN1
1877,CCNG2
1876,CCNI
1671,CCNL1
13,CCNL2
1088,CCNT2
1208,CCNYL1
739,CCSAP
1909,CCSER1
541,CCT3
928,CCT4
963,CCT7
1112,CD302
677,CD46
1547,CD47
676,CD55
727,CDC42BPA
466,CDC42SE1
634,CDC73
1403,CDCP1
17,CDK11B
1892,CDS1
1625,CDV3
877,CEBPZ
876,CEBPZOS
1853,CENPC
58,CENPS
36,CEP104
762,CEP170
612,CEP350
1630,CEP63
938,CEP68
1637,CEP70
408,CEPT1
463,CERS2
1121,CERS6
918,CFAP36
1556,CFAP44
1189,CFLAR
1525,CGGBP1
478,CGN
842,CGREF1
1336,CHCHD4
1053,CHCHD5
1594,CHCHD6
1492,CHDH
1845,CHIC2
1524,CHMP2B
996,CHMP3
1140,CHN1
1245,CHPF
488,CHTOP
1008,CIAO1
1137,CIR1
1922,CISD2
232,CITED4
1066,CLASP1
1373,CLASP2
395,CLCC1
69,CLCN6
1533,CLDND1
1967,CLGN
132,CLIC4
859,CLIP4
1185,CLK1
518,CLK2
1847,CLOCK
51,CLSTN1
1360,CMC1
277,CMPK1
1536,CMSS1
1367,CMTM6
1366,CMTM8
1607,CNBP
143,CNKSR1
378,CNN3
1012,CNNM3
1369,CNOT10
1878,CNOT6L
1228,CNOT9
1232,CNPPD1
771,CNST
1021,COA5
748,COA6
1117,COBLL1
741,COG2
175,COL16A1
1160,COL3A1
1276,COL6A3
1423,COL7A1
229,COL9A2
929,COMMD1
1657,COMMD2
558,COPA
1640,COPB2
1608,COPG1
1889,COPS4
1265,COPS7B
1275,COPS8
1286,COPS9
1176,COQ10B
1890,COQ2
726,COQ8A
1565,COX17
1862,COX18
1017,COX5B
889,COX7A2L
1792,CPEB2
1619,CPNE4
1534,CPOX
793,CPSF3
294,CPT2
9,CPTP
1304,CRBN
1206,CREB1
495,CREB3L4
586,CREG1
1321,CRELD1
871,CRIM1
901,CRIPT
1371,CRTAP
1531,CRYBG3
332,CRYZ
423,CSDE1
404,CSF1
1756,CTBP1
345,CTBS
1227,CTDSP1
1378,CTDSPL
329,CTH
1387,CTNNB1
52,CTNNBIP1
460,CTSK
1993,CTSO
1250,CUL3
1151,CWC22
1841,CWH43
1094,CXCR4
1459,CYB561D2
657,CYB5R1
1130,CYBRD1
881,CYP1B1
1199,CYP20A1
1933,CYP2U1
295,CZIB
1302,D2HGDH
1444,DAG1
524,DAP3
1093,DARS
602,DARS2
1060,DBI
1635,DBR1
385,DBT
1465,DCAF1
1799,DCAF16
1129,DCAF17
588,DCAF6
556,DCAF8
1535,DCBLD2
1860,DCK
1491,DCP1A
971,DCTN1
1698,DCUN1D1
1842,DCUN1D4
348,DDAH1
80,DDI2
106,DDOST
811,DDX1
1058,DDX18
639,DDX59
568,DEDD
712,DEGS1
636,DENND1B
409,DENND2D
493,DENND4B
1501,DENND6A
1242,DES
767,DESI2
59,DFFA
1270,DGKD
969,DGUOK
301,DHCR24
74,DHRS3
1804,DHX15
1416,DHX30
1666,DHX36
618,DHX9
368,DIPK1A
1650,DIPK2A
1266,DIS3L2
1742,DLG1
254,DMAP1
715,DNAH14
1719,DNAJB11
1918,DNAJB14
1240,DNAJB2
1154,DNAJC10
1621,DNAJC13
79,DNAJC16
1696,DNAJC19
161,DNAJC8
210,DNALI1
343,DNASE2B
829,DNMT3A
1241,DNPEP
373,DNTTIP2
312,DOCK7
251,DPH2
1348,DPH3
389,DPH5
512,DPM3
1115,DPP4
863,DPY30
371,DR1
407,DRAM2
667,DSTYK
830,DTNB
1579,DTX3L
966,DUSP11
574,DUSP12
10,DVL1
1705,DVL3
1131,DYNC1I2
1368,DYNC1LI1
1549,DZIP3
1344,EAF1
243,EBNA1BP2
109,ECE1
292,ECHDC2
1309,EDEM1
624,EDEM3
597,EEF1AKNMT
1203,EEF1B2
1611,EFCAB12
276,EFCAB14
769,EFCAB2
1604,EFCC1
77,EFHD2
510,EFNA1
930,EHBP1
1385,EIF1B
1662,EIF2A
875,EIF2AK2
1000,EIF2AK3
257,EIF2B3
846,EIF2B4
1704,EIF2B5
672,EIF2D
180,EIF3I
1720,EIF4A2
1914,EIF4E
1267,EIF4E2
1520,EIF4E3
1710,EIF4G1
108,EIF4G3
1026,EIF5B
783,EIPR1
1961,ELF2
650,ELF3
668,ELK4
1968,ELMOD2
984,ELMOD3
123,ELOA
245,ELOVL1
1414,ELP6
94,EMC1
1322,EMC3
841,EMILIN1
888,EML4
716,ENAH
49,ENO1
1886,ENOPH1
1514,EOGT
898,EPAS1
1062,EPB41L5
1100,EPC2
904,EPCAM
1528,EPHA3
1712,EPHB3
718,EPHX1
1375,EPM2AIP1
700,EPRS
281,EPS15
1070,ERCC3
255,ERI3
911,ERLEC1
241,ERMAP
757,ERO1B
47,ERRFI1
940,ETAA1
1996,ETFDH
550,ETV3
1776,EVC
367,EVI5
959,EXOC6B
63,EXOSC10
1402,EXOSC7
387,EXTL2
160,EYA3
561,F11R
376,F3
272,FAAH
23,FAAP20
278,FAF1
1015,FAHD2B
1638,FAIM
1816,FAM114A1
1196,FAM117B
1188,FAM126B
952,FAM136A
1907,FAM13A
1986,FAM160A1
1576,FAM162A
1084,FAM168B
517,FAM189B
1768,FAM193A
1795,FAM200B
608,FAM20B
1938,FAM241A
1727,FAM43A
812,FAM49A
157,FAM76A
870,FAM98A
921,FANCL
1296,FARP2
1247,FARSB
1204,FASTKD2
82,FBLIM1
1335,FBLN2
1794,FBXL5
907,FBXO11
711,FBXO28
1257,FBXO36
85,FBXO42
66,FBXO44
1987,FBXW7
519,FDPS
872,FEZ2
1754,FGFRL1
761,FH
1844,FIP1L1
1503,FLNB
691,FLVCR1
1104,FMNL2
445,FMO5
660,FMOD
1218,FN1
372,FNBP1L
1686,FNDC3B
1998,FNIP2
234,FOXJ3
908,FOXN2
1519,FOXP1
331,FPGT
1518,FRMD4B
1838,FRYL
1568,FSTL1
340,FUBP1
1695,FXR1
1407,FYCO1
1209,FZD5
678,G0S2
1867,G3BP2
1974,GAB1
467,GABPB2
1751,GAK
740,GALNT2
1118,GALNT3
1994,GASK1B
1600,GATA2
492,GATAD2B
516,GBA
360,GBP2
1116,GCA
1040,GCC2
374,GCLM
430,GDAP2
814,GEN1
1673,GFM1
945,GFPT1
987,GGCX
752,GGPS1
1268,GIGYF2
1646,GK5
1370,GLB1
365,GLMN
540,GLMP
633,GLRX2
1168,GLS
1482,GLT8D1
617,GLUL
1475,GLYCTK
1244,GMPPA
1447,GMPPB
1669,GMPS
1452,GNAI2
401,GNAI3
21,GNB1
324,GNG12
211,GNL2
1481,GNL3
743,GNPAT
1834,GNPDA2
1377,GOLGA4
1572,GOLGB1
459,GOLPH3L
525,GON4L
1384,GORASP1
1126,GORASP2
695,GPATCH2
543,GPATCH4
264,GPBP1L1
1287,GPC1
1365,GPD1L
852,GPN1
148,GPN2
756,GPR137B
1682,GPR160
448,GPR89B
806,GREB1
798,GRHL1
1784,GRPEL1
1858,GRSF1
1566,GSK3B
1927,GSTCD
403,GSTM3
357,GTF2B
1571,GTF2E1
845,GTF3C2
1174,GTF3C3
1992,GUCY1A1
1833,GUF1
733,GUK1
1159,GULP1
1653,GYG1
1610,H1FX
722,H3F3A
50,H6PD
1583,HACD2
1345,HACL1
1934,HADH
833,HADHA
834,HADHB
1133,HAT1
1765,HAUS3
500,HAX1
181,HDAC1
1334,HDAC11
1284,HDAC4
547,HDGF
1294,HDLBP
759,HEATR1
874,HEATR5B
258,HECTD3
1461,HEMK1
1905,HERC3
1903,HERC6
1,HES4
222,HEYL
1569,HGD
680,HHAT
420,HIPK1
450,HIST2H2AB
1654,HLTF
1609,HMCES
125,HMGCL
1095,HNMT
1145,HNRNPA3
1884,HNRNPD
1885,HNRNPDL
883,HNRNPLL
118,HNRNPR
768,HNRNPU
307,HOOK1
107,HP1BP3
800,HPCAL1
821,HS1BP3
354,HS2ST1
1078,HS6ST1
1898,HSD17B11
297,HSPB11
1177,HSPD1
1178,HSPE1
112,HSPG2
978,HTRA2
1772,HTT
1455,HYAL2
248,HYI
794,IAH1
702,IARS2
1197,ICA1L
38,ICMT
788,ID2
122,ID3
1753,IDUA
92,IFFO2
341,IFI44
156,IFI6
128,IFNLR1
1454,IFRD2
1613,IFT122
850,IFT172
1548,IFT57
1675,IFT80
1220,IGFBP2
1221,IGFBP5
1852,IGFBP7
1002,IGKC
554,IGSF8
552,IGSF9
1215,IKZF2
1320,IL17RC
1034,IL1R1
1574,ILDR1
490,ILF2
1280,ILKAP
994,IMMT
1081,IMP4
1433,IMPDH2
1301,ING5
973,INO80B
1201,INO80D
1165,INPP1
1020,INPP4A
1972,INPP4B
215,INPP5B
8,INTS11
1926,INTS12
491,INTS3
685,INTS7
1953,INTU
