,gene,highly_variable_rank
0,ISG15,13.0
1,PLA2G2A,7.0
2,IFI6,15.0
3,TSPAN1,17.0
4,RGS5,17.5
5,ATF3,21.0
6,AIDA,20.0
7,IGKC,0.0
8,TMEFF2,21.0
9,IGFBP5,12.0
10,APOD,17.5
11,SPON2,12.5
12,SOD3,14.5
13,PRKG2,12.5
14,AMACR,9.0
15,IRF1,10.0
16,EGR1,9.5
17,HIST1H4H,20.0
18,HIST1H3H,17.0
19,HSPA1B,10.0
20,AEBP1,18.0
21,IGFBP3,8.0
22,COL1A2,10.0
23,AZGP1,4.5
24,SULF1,16.0
25,CRISPLD1,16.0
26,PTP4A3,14.0
27,VIM,19.0
28,MSMB,12.0
29,PLAAT4,9.0
30,NCAPD3,11.0
31,OSBPL8,16.5
32,FOS,5.0
33,WARS,16.0
34,IGHA1,1.0
35,C15orf48,5.0
36,ACSM1,19.0
37,MT2A,5.5
38,MT1E,18.0
39,MT1G,3.0
40,MT1X,8.0
41,MON1B,6.0
42,PPP1R1B,16.0
43,KRT15,16.0
44,COL1A1,19.5
45,GDF15,18.0
46,FOSB,7.0
47,KLK4,19.0
48,NEFH,3.0
49,TIMP1,14.0
