,group,scores,gene
0,B-cells,103.54002,HLA-DRA
1,B-cells,96.7737,MS4A1
2,B-cells,92.15978,CD74
3,B-cells,84.05053,CD37
4,B-cells,80.53447,CD79A
5,B-cells,76.0981,HLA-DPB1
6,B-cells,75.2318,HLA-DPA1
7,B-cells,66.563484,HLA-DQB1
8,B-cells,63.73753,HLA-DQA1
9,B-cells,54.26049,HLA-DRB1
10,B-cells,54.173603,HLA-DRB5
11,B-cells,53.72052,LAPTM5
12,B-cells,52.391407,BANK1
13,B-cells,51.286682,CD52
14,B-cells,51.16199,CD83
15,B-cells,42.12376,VPREB3
16,B-cells,42.00677,CD79B
17,B-cells,41.73516,BTG1
18,B-cells,39.611458,FAU
19,B-cells,39.429443,IRF8
20,CAFs,217.58841,DCN
21,CAFs,189.00851,LUM
22,CAFs,155.02208,COL1A2
23,CAFs,142.19016,C1S
24,CAFs,137.18054,COL3A1
25,CAFs,136.20546,CTSK
26,CAFs,134.04305,COL1A1
27,CAFs,132.0901,COL6A2
28,CAFs,122.07068,SERPINF1
29,CAFs,120.3247,SFRP2
30,CAFs,119.708176,SERPING1
31,CAFs,118.48429,COL6A3
32,CAFs,117.81048,CALD1
33,CAFs,116.761826,COL6A1
34,CAFs,115.51668,RARRES2
35,CAFs,109.20813,SPARC
36,CAFs,105.30212,LGALS1
37,CAFs,101.56215,PCOLCE
38,CAFs,98.97989,MXRA8
39,CAFs,98.32501,ISLR
40,Cancer Epithelial,228.22762,KRT19
41,Cancer Epithelial,227.6076,SPINT2
42,Cancer Epithelial,226.48283,KRT18
43,Cancer Epithelial,202.91444,KRT8
44,Cancer Epithelial,202.604,MGST1
45,Cancer Epithelial,167.15215,ELF3
46,Cancer Epithelial,166.40408,PERP
47,Cancer Epithelial,166.395,CD24
48,Cancer Epithelial,165.92563,TSTD1
49,Cancer Epithelial,165.39226,FXYD3
50,Cancer Epithelial,160.90495,KRT7
51,Cancer Epithelial,158.97076,AZGP1
52,Cancer Epithelial,158.62961,CLDN4
53,Cancer Epithelial,158.44034,EPCAM
54,Cancer Epithelial,153.62685,RAB25
55,Cancer Epithelial,147.34914,CLDN3
56,Cancer Epithelial,146.22963,CLDN7
57,Cancer Epithelial,145.82704,CYB5A
58,Cancer Epithelial,145.469,SMIM22
59,Cancer Epithelial,142.74881,DSTN
60,Endothelial,161.3414,RAMP2
61,Endothelial,154.14516,SPARCL1
62,Endothelial,147.89467,PLVAP
63,Endothelial,145.61192,IGFBP7
64,Endothelial,140.3129,GNG11
65,Endothelial,139.75703,PECAM1
66,Endothelial,132.20836,ENG
67,Endothelial,129.3381,IFITM3
68,Endothelial,128.52586,VWF
69,Endothelial,125.3616,IFI27
70,Endothelial,123.87042,A2M
71,Endothelial,123.36759,AQP1
72,Endothelial,121.50514,EMCN
73,Endothelial,119.274284,NPDC1
74,Endothelial,116.63269,ADGRL4
75,Endothelial,116.0328,RNASE1
76,Endothelial,113.982635,ESAM
77,Endothelial,113.872925,CLEC14A
78,Endothelial,113.020424,EGFL7
79,Endothelial,109.414215,HSPG2
80,Myeloid,272.21033,TYROBP
81,Myeloid,212.17805,FCER1G
82,Myeloid,187.76797,AIF1
83,Myeloid,176.34651,HLA-DRA
84,Myeloid,173.37872,FTL
85,Myeloid,160.51512,HLA-DPA1
86,Myeloid,159.64516,CD68
87,Myeloid,151.71817,CD74
88,Myeloid,150.80943,HLA-DPB1
89,Myeloid,150.08626,GPX1
90,Myeloid,145.87512,MS4A6A
91,Myeloid,140.74718,NPC2
92,Myeloid,140.40495,CTSB
93,Myeloid,136.3366,CST3
94,Myeloid,135.95308,HLA-DRB1
95,Myeloid,135.50587,LYZ
96,Myeloid,130.28969,C1QA
97,Myeloid,129.6119,SPI1
98,Myeloid,129.21387,PSAP
99,Myeloid,128.77028,C1QB
100,Normal Epithelial,86.635895,TACSTD2
101,Normal Epithelial,74.235725,PERP
102,Normal Epithelial,71.74573,KRT8
103,Normal Epithelial,62.708454,MGP
104,Normal Epithelial,62.026356,KRT7
105,Normal Epithelial,58.925323,CLDN4
106,Normal Epithelial,58.679085,CRYAB
107,Normal Epithelial,57.832535,CLU
108,Normal Epithelial,57.6544,SPINT2
109,Normal Epithelial,57.491764,SFRP1
110,Normal Epithelial,57.441406,TM4SF1
111,Normal Epithelial,55.844627,WFDC2
112,Normal Epithelial,53.234337,KRT18
113,Normal Epithelial,52.481247,MAFF
114,Normal Epithelial,51.872513,CD9
115,Normal Epithelial,50.58332,TPM1
116,Normal Epithelial,50.224037,APP
117,Normal Epithelial,49.62623,ATF3
118,Normal Epithelial,49.533623,AZGP1
119,Normal Epithelial,49.463844,KRT15
120,PVL,172.73994,IGFBP7
121,PVL,150.09433,MYL9
122,PVL,142.66573,CALD1
123,PVL,127.20788,TAGLN
124,PVL,122.76614,ACTA2
125,PVL,118.92855,SPARCL1
126,PVL,116.57514,TPM2
127,PVL,104.950424,SOD3
128,PVL,104.611015,NDUFA4L2
129,PVL,99.1237,ADIRF
130,PVL,94.80441,IFITM3
131,PVL,94.642624,CAV1
132,PVL,93.48405,MFGE8
133,PVL,89.88742,LHFPL6
134,PVL,86.815575,BGN
135,PVL,85.44272,PLAC9
136,PVL,85.22233,TPM1
137,PVL,83.632416,SPARC
138,PVL,81.00586,NOTCH3
139,PVL,78.02932,MCAM
140,Plasmablasts,170.42801,SSR4
141,Plasmablasts,167.5777,MZB1
142,Plasmablasts,103.80988,DERL3
143,Plasmablasts,101.000336,SEC11C
144,Plasmablasts,96.36127,FKBP11
145,Plasmablasts,96.18393,XBP1
146,Plasmablasts,91.123505,HERPUD1
147,Plasmablasts,87.07007,ITM2C
148,Plasmablasts,83.15019,CD79A
149,Plasmablasts,80.75541,HSP90B1
150,Plasmablasts,77.39649,JCHAIN
151,Plasmablasts,74.54715,PRDX4
152,Plasmablasts,69.23851,FKBP2
153,Plasmablasts,61.459984,SDF2L1
154,Plasmablasts,60.77784,SSR3
155,Plasmablasts,59.33342,SEC61B
156,Plasmablasts,57.100876,SPCS1
157,Plasmablasts,56.632404,SPCS3
158,Plasmablasts,56.436687,IGLL5
159,Plasmablasts,55.220936,SPCS2
160,T-cells,258.21542,CD3E
161,T-cells,238.86916,SRGN
162,T-cells,230.89156,PTPRC
163,T-cells,223.69818,BTG1
164,T-cells,222.58212,CD3D
165,T-cells,211.52399,CD52
166,T-cells,209.8378,CD2
167,T-cells,208.30276,B2M
168,T-cells,205.16754,CXCR4
169,T-cells,197.89288,IL32
170,T-cells,190.26347,CD69
171,T-cells,187.80774,IL7R
172,T-cells,185.74068,TNFAIP3
173,T-cells,184.36981,TMSB4X
174,T-cells,182.46365,CCL5
175,T-cells,181.32608,CD7
176,T-cells,176.92285,ARHGDIB
177,T-cells,169.95796,CYTIP
178,T-cells,166.74123,RAC2
179,T-cells,163.34947,TSC22D3
