,gene
0,ACAP1
1,AIF1
2,ANXA1
3,AREG
4,BANK1
5,BCAM
6,BCL11A
7,BTG1
8,CCDC50
9,CCL5
10,CD14
11,CD2
12,CD24
13,CD37
14,CD3D
15,CD3E
16,CD3G
17,CD52
18,CD68
19,CD69
20,CD74
21,CD79A
22,CD79B
23,CD9
24,CLDN3
25,CLIC3
26,CORO1A
27,CPA3
28,CTSS
29,CXCR4
30,CYBB
31,DSP
32,ELF3
33,ENSG00000233968.9
34,EPCAM
35,ETS1
36,EVL
37,FCER1G
38,FCGR2A
39,FCGR3A
40,FOLR1
41,FTL
42,GATA2
43,GPR183
44,GRN
45,GZMA
46,GZMB
47,HCST
48,HDC
49,HLA-DPA1
50,HLA-DPB1
51,HLA-DQA1
52,HLA-DQB1
53,HLA-DRA
54,HLA-DRB1
55,HPGD
56,HPGDS
57,IGHM
58,IGKC
59,IL1RL1
60,IL32
61,IL3RA_ENSG00000185291
62,IRF4
63,IRF7
64,IRF8
65,JCHAIN
66,KIT
67,KLF2
68,KRT18
69,KRT19
70,KRT7
71,KRT8
72,LAPTM5
73,LILRA4
74,LTB
75,LTC4S
76,MAL2
77,MPEG1
78,MS4A1
79,MS4A2
80,MS4A7
81,MSLN
82,MUC1
83,NKG7
84,PLAC8
85,PLD4
86,POU2F2
87,PSAP
88,PTPRC
89,RALGPS2
90,RGS13
91,RHEX
92,RPL8
93,S100A13
94,SAMSN1
95,SAT1
96,SLC15A4
97,SLC18A2
98,SLPI
99,SPIB
100,SPINT2
101,TCF4
102,TNFRSF13C
103,TPSAB1
104,TPSB2
105,TRAC
106,TSC22D3
107,TSPAN13
108,TYROBP
109,UGCG
110,VPREB3
111,VWA5A
112,WFDC2

