,gene
50,ABCC11
184,ACKR1
138,ACTA2
345,ACTG2
408,ADAM9
59,ADGRE5
105,ADGRL4
167,ADH1B
370,ADIPOQ
406,AEBP1
297,AGR3
12,AHSP
99,AIF1
128,AKR1C1
80,AKR1C3
261,ALDH1A3
30,ANGPT2
73,ANKRD28
286,ANKRD29
205,ANKRD30A
309,APC
364,APOBEC3A
381,APOBEC3B
145,APOC1
191,AQP1
272,AQP3
27,AR
173,ARSG
223,AVPR1A
16,BAALC
187,BACE2
335,BANK1
40,BASP1
148,BIRC3
36,BTNL9
72,BUB1
218,C11orf96
137,C15orf48
409,C1QA
104,C1QC
301,C2orf42
57,C5orf46
94,C6orf132
363,CACNG4
47,CAPN9
317,CAV1
70,CAVIN2
221,CCDC6
147,CCDC80
39,CCL18
397,CCL19
135,CCL20
402,CCL26
123,CCL5
38,CCL8
114,CCND1
228,CCPG1
0,CCR7
399,CD14
302,CD163
202,CD19
198,CD1C
66,CD247
125,CD27
163,CD274
149,CD36
238,CD3D
263,CD3E
312,CD3G
77,CD4
350,CD40
108,CD52
164,CD68
159,CD69
310,CD79A
256,CD79B
100,CD80
361,CD83
390,CD86
120,CD8A
42,CD8B
176,CD9
23,CD93
180,CD96
131,CDC42EP1
117,CDH1
25,CEACAM6
320,CEACAM8
19,CEBPB
349,CEL
250,CENPF
69,CILP
193,CLCA2
101,CLDN4
81,CLDN5
79,CLEC14A
259,CLEC9A
212,CLECL1
177,CLIC6
290,CPA3
156,CRHBP
395,CRISPLD2
192,CSF3
162,CST1
152,CTH
20,CTHRC1
196,CTLA4
83,CTSG
111,CTTN
82,CX3CR1
346,CXCL12
194,CXCL16
22,CXCL5
247,CXCL9
299,CXCR3
10,CXCR4
319,CYP1A1
275,CYTIP
254,DAPK3
355,DERL3
52,DHRS2
376,DIO2
386,DMKN
334,DNAAF1
287,DNTTIP1
92,DPT
273,DSC2
405,DSP
141,DST
109,DUSP2
369,DUSP5
348,E2F1
412,ECM1
328,EDN1
219,EDNRB
281,EFEMP1
165,EGFL7
13,EGFR
270,EGR1
54,EIF4EBP1
78,ELF3
237,ELF5
206,ELOVL5
403,ENAH
385,EPCAM
337,EPHA2
188,EPHA4
178,ERBB2
324,ERN1
115,ESM1
85,ESR1
339,FAM107B
356,FAM3B
214,FAM49A
182,FASN
121,FBLIM1
201,FBLN1
396,FBLN2
231,FCER1A
313,FCER1G
169,FCGR3A
400,FGFR1
87,FGL2
90,FLNB
210,FOSL1
74,FOXA1
43,FOXC2
372,FOXP3
316,FSTL3
186,G0S2
283,GABRP
266,GATA3
199,GJB2
387,GLIPR1
122,GNLY
203,GPR183
183,GPX3
200,GRB14
368,GZMA
67,GZMB
76,GZMK
157,HAVCR2
95,HDC
246,HMGA1
248,HMGCS2
127,HOOK2
277,HOXD8
341,HOXD9
226,HPX
239,ID4
241,IFNB1
179,IGF1
306,IGF1R
410,IGFBP6
304,IGSF6
63,IL17A
3,IL22
251,IL23A
382,IL2RA
88,IL2RG
24,IL32
222,IL3RA
217,IL4
48,IL7R
124,INHBA
44,IQCJ
411,ISLR
55,ITGAM
235,ITGAX
294,ITGB1
185,ITM2C
404,JUP
249,KARS
37,KDR
303,KIT
318,KLF5
255,KLRB1
28,KLRC1
7,KLRD1
377,KLRF1
357,KRT14
329,KRT15
96,KRT16
365,KRT23
362,KRT5
333,KRT6B
285,KRT7
71,KRT8
89,LAG3
353,LARS
150,LDHA
393,LDHB
245,LEF1
208,LEP
53,LGALS9
229,LGALSL
293,LIF
322,LILRA4
33,LPL
213,LPXN
311,LRRC15
373,LRRC31
62,LTB
46,LUM
378,LY86
342,LYPD3
257,LYZ
344,MAP3K8
97,MCM6
242,MDM2
93,MEDAG
398,MFAP4
142,MFAP5
265,MKI67
129,MLPH
60,MMP1
407,MMP11
9,MMP12
343,MMP2
143,MMRN2
296,MNDA
300,MPO
1,MRC1
11,MS4A1
6,MUC1
276,MUC5B
132,MUC6
86,MYBPC1
75,MYH11
375,MYLK
358,MYO5B
113,MZB1
262,NARS
61,NCAM1
366,NDUFA4L2
166,NKG7
268,NLRC5
126,NNMT
392,NOSTRIN
340,NPM3
284,NXPH1
307,OCIAD2
352,OPRPN
103,OXTR
332,PCDH10
282,PCLAF
278,PCOLCE
144,PDCD1
391,PDCD1LG2
314,PDE4A
26,PDGFRA
118,PDGFRB
336,PDK4
181,PDZK1
18,PECAM1
204,PELI1
240,PGR
168,PIGR
225,PIK3CG
45,PIM1
35,PLD4
258,PLIN1
379,PLK1
252,POLR2J3
347,POSTN
195,PPARG
280,PRDM1
29,PRF1
161,PTGDS
288,PTN
21,PTPRC
291,PTRHD1
351,QARS
112,RAB30
56,RAMP2
91,RAPGEF3
331,RARRES2
289,REXO4
65,RGS5
107,RHOH
155,ROR1
243,RORC
151,RTKN2
279,RUNX1
133,S100A14
5,S100A4
171,S100A8
315,SCD
360,SCGB2A1
338,SDC4
264,SEC11C
139,SEC24A
215,SELL
211,SERHL2
32,SERPINA3
330,SERPINB9
216,SERPING1
354,SFRP1
383,SFRP4
146,SH3YL1
236,SLAMF1
321,SLAMF7
153,SLC25A37
197,SLC26A3
64,SLC4A1
2,SLC5A6
388,SMAP2
134,SMS
323,SNAI1
17,SNX20
227,SOX17
15,SOX18
220,SPARCL1
233,SPIB
51,SPOCK2
158,SQLE
14,SRGN
380,SRPK1
295,SSTR2
34,STAT3
308,STC1
170,STC2
384,SVIL
394,TAC1
224,TACSTD2
374,TAP1
49,TAPBP
119,TBX3
175,TCEAL7
305,TCF15
325,TCF4
106,TCF7
116,TCIM
401,TCL1A
271,TENT5C
98,TFAP2A
110,TGFBR1
209,THAP2
274,THBS2
4,THY1
298,TIFA
31,TIGIT
102,TIMP4
389,TMEM147
292,TNFRSF17
230,TNS4
130,TNXB
8,TOMM7
244,TOP2A
189,TPD52
172,TPSAB1
68,TRAC
327,TRAF4
58,TRAPPC3
359,TRAT1
232,TRBC1
140,TRH
234,TRIB1
190,TSPAN8
41,TUBA4A
136,TUBB2B
260,TYROBP
326,UBD
253,UCP1
160,USP53
207,VEGFC
269,VOPP1
174,VWF
367,WARS
84,XCR1
154,ZEB1
371,ZEB2
267,ZNF562

